# ,,,,,,,,,,
# 02/24/2023 23:31:46,,,,,,,,,,
# The parameters defined in the project are:,,,,,,,,,,
# ,P3 - Mesh Element Size [mm],P4 - Edge Sizing Element Size [mm],P5 - Edge Sizing 2 Element Size [mm],P6 - Inflation Maximum Layers,P7 - Inflation First Layer Height [mm],P8 - Face Sizing Element Size [mm],P9 - Face Sizing 2 Element Size [mm],P10 - cda-op,P11 - cla-op,P12 - cop-op
# ,,,,,,,,,,
# The following header line defines the name of the columns by reference to the parameters.,,,,,,,,,,
Name,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
,5.0,0.25,0.25,30,0.014108,1.0,2.5,,,
,5.0,0.25,0.25,30,0.014108,1.0,5.0,,,
,5.0,0.25,0.25,30,0.014108,5.0,5.0,,,
,5.0,0.25,0.25,27,0.028216,1.0,2.5,,,
,5.0,0.25,0.25,27,0.028216,1.0,5.0,,,
,5.0,0.25,0.25,27,0.028216,5.0,5.0,,,
,5.0,0.25,0.25,23,0.056432,1.0,2.5,,,
,5.0,0.25,0.25,23,0.056432,1.0,5.0,,,
,5.0,0.25,0.25,23,0.056432,5.0,5.0,,,
,5.0,0.25,0.25,18,0.14108,1.0,2.5,,,
,5.0,0.25,0.25,18,0.14108,1.0,5.0,,,
,5.0,0.25,0.25,18,0.14108,5.0,5.0,,,
,5.0,0.25,0.5,30,0.014108,1.0,2.5,,,
,5.0,0.25,0.5,30,0.014108,1.0,5.0,,,
,5.0,0.25,0.5,30,0.014108,5.0,5.0,,,
,5.0,0.25,0.5,27,0.028216,1.0,2.5,,,
,5.0,0.25,0.5,27,0.028216,1.0,5.0,,,
,5.0,0.25,0.5,27,0.028216,5.0,5.0,,,
,5.0,0.25,0.5,23,0.056432,1.0,2.5,,,
,5.0,0.25,0.5,23,0.056432,1.0,5.0,,,
,5.0,0.25,0.5,23,0.056432,5.0,5.0,,,
,5.0,0.25,0.5,18,0.14108,1.0,2.5,,,
,5.0,0.25,0.5,18,0.14108,1.0,5.0,,,
,5.0,0.25,0.5,18,0.14108,5.0,5.0,,,
,5.0,0.25,0.5,14,0.28216,1.0,2.5,,,
,5.0,0.25,0.5,14,0.28216,1.0,5.0,,,
,5.0,0.25,0.5,14,0.28216,5.0,5.0,,,
,5.0,0.25,1.0,30,0.014108,1.0,2.5,,,
,5.0,0.25,1.0,30,0.014108,1.0,5.0,,,
,5.0,0.25,1.0,30,0.014108,5.0,5.0,,,
,5.0,0.25,1.0,27,0.028216,1.0,2.5,,,
,5.0,0.25,1.0,27,0.028216,1.0,5.0,,,
,5.0,0.25,1.0,27,0.028216,5.0,5.0,,,
,5.0,0.25,1.0,23,0.056432,1.0,2.5,,,
,5.0,0.25,1.0,23,0.056432,1.0,5.0,,,
,5.0,0.25,1.0,23,0.056432,5.0,5.0,,,
,5.0,0.25,1.0,18,0.14108,1.0,2.5,,,
,5.0,0.25,1.0,18,0.14108,1.0,5.0,,,
,5.0,0.25,1.0,18,0.14108,5.0,5.0,,,
,5.0,0.25,1.0,14,0.28216,1.0,2.5,,,
,5.0,0.25,1.0,14,0.28216,1.0,5.0,,,
,5.0,0.25,1.0,14,0.28216,5.0,5.0,,,
,5.0,0.25,2.5,30,0.014108,5.0,5.0,,,
,5.0,0.25,2.5,27,0.028216,5.0,5.0,,,
,5.0,0.25,2.5,23,0.056432,5.0,5.0,,,
,5.0,0.25,2.5,18,0.14108,5.0,5.0,,,
,5.0,0.25,2.5,14,0.28216,5.0,5.0,,,
,5.0,0.25,2.5,6,1.69296,5.0,5.0,,,
,5.0,0.25,5.0,30,0.014108,5.0,5.0,,,
,5.0,0.25,5.0,27,0.028216,5.0,5.0,,,
,5.0,0.25,5.0,23,0.056432,5.0,5.0,,,
,5.0,0.25,5.0,18,0.14108,5.0,5.0,,,
,5.0,0.25,5.0,14,0.28216,5.0,5.0,,,
,5.0,0.25,5.0,6,1.69296,5.0,5.0,,,
,5.0,0.25,5.0,4,2.8216,5.0,5.0,,,
,5.0,0.5,0.5,30,0.014108,1.0,2.5,,,
,5.0,0.5,0.5,30,0.014108,1.0,5.0,,,
,5.0,0.5,0.5,30,0.014108,5.0,5.0,,,
,5.0,0.5,0.5,27,0.028216,1.0,2.5,,,
,5.0,0.5,0.5,27,0.028216,1.0,5.0,,,
